seed,model,train_loss,val_f1,val_acc,val_auc,val_recall,val_precision,test_f1,test_acc,test_auc,test_recall,test_precision
0,A,0.3636174090206623,0.5,0.6,0.5833333333333334,0.5,0.5,0.0,0.3,0.23076923076923078,0.0,0.0
0,B,2.1277798414230347,0.8,0.8,0.8333333333333334,1.0,0.6666666666666666,0.5217391304347826,0.45,0.5439560439560439,0.8571428571428571,0.375
1,A,2.5920226648449898,1.0,1.0,1.0,1.0,1.0,0.0,0.6,0.5,0.0,0.0
1,B,1.8811076432466507,0.75,0.6,0.5,1.0,0.6,0.6,0.6,0.625,0.75,0.5
2,A,1.6988610923290253,0.8,0.8,0.8333333333333334,1.0,0.6666666666666666,0.56,0.45,0.5769230769230769,1.0,0.3888888888888889
2,B,2.924883782863617,0.75,0.6,0.5,1.0,0.6,0.5185185185185185,0.35,0.5,1.0,0.35
3,A,2.536907970905304,0.5714285714285714,0.4,0.5,1.0,0.4,0.25,0.7,0.5714285714285714,0.14285714285714285,1.0
3,B,0.9110148176550865,1.0,1.0,1.0,1.0,1.0,0.3,0.3,0.3296703296703296,0.42857142857142855,0.23076923076923078
4,A,2.9066338539123535,0.5714285714285714,0.4,0.5,1.0,0.4,0.6666666666666666,0.7,0.7362637362637363,0.8571428571428571,0.5454545454545454
4,B,2.493160992860794,1.0,1.0,1.0,1.0,1.0,0.48,0.35,0.467032967032967,0.8571428571428571,0.3333333333333333
5,A,1.6398355811834335,0.8,0.8,0.8333333333333334,1.0,0.6666666666666666,0.4444444444444444,0.5,0.5,0.5,0.4
5,B,1.7089050114154816,0.8888888888888888,0.8,0.5,1.0,0.8,0.43478260869565216,0.35,0.3958333333333333,0.625,0.3333333333333333
6,A,1.280613712966442,0.6666666666666666,0.6,0.6666666666666667,1.0,0.5,0.5555555555555556,0.6,0.6263736263736264,0.7142857142857143,0.45454545454545453
6,B,1.163804080337286,0.5,0.6,0.5833333333333334,0.5,0.5,0.48,0.35,0.467032967032967,0.8571428571428571,0.3333333333333333
7,A,2.2842037677764893,0.8,0.8,0.8333333333333334,1.0,0.6666666666666666,0.4,0.7,0.625,0.25,1.0
7,B,1.2217625826597214,1.0,1.0,1.0,1.0,1.0,0.6956521739130435,0.65,0.7083333333333333,1.0,0.5333333333333333
8,A,3.4064735174179077,0.5714285714285714,0.4,0.5,1.0,0.4,0.36363636363636365,0.65,0.5833333333333333,0.25,0.6666666666666666
8,B,1.2527231872081757,0.8571428571428571,0.8,0.75,1.0,0.75,0.2,0.6,0.5208333333333334,0.125,0.5
9,A,2.3463940024375916,0.6666666666666666,0.6,0.6666666666666667,1.0,0.5,0.4,0.55,0.521978021978022,0.42857142857142855,0.375
9,B,1.8069610297679901,0.8888888888888888,0.8,0.5,1.0,0.8,0.15384615384615385,0.45,0.37912087912087916,0.14285714285714285,0.16666666666666666
10,A,0.3821801356971264,0.8,0.8,0.8333333333333334,1.0,0.6666666666666666,0.0,0.45,0.375,0.0,0.0
10,B,0.8637617118656635,0.8571428571428571,0.8,0.75,1.0,0.75,0.5833333333333334,0.5,0.5625,0.875,0.4375
11,A,2.52120840549469,0.5714285714285714,0.4,0.5,1.0,0.4,0.35294117647058826,0.45,0.4375,0.375,0.3333333333333333
11,B,1.4060769900679588,0.8571428571428571,0.8,0.75,1.0,0.75,0.4,0.4,0.41666666666666663,0.5,0.3333333333333333
12,A,2.33161598443985,0.5714285714285714,0.4,0.5,1.0,0.4,0.625,0.7,0.6875,0.625,0.625
12,B,0.8133510649204254,0.75,0.6,0.5,1.0,0.6,0.5925925925925926,0.45,0.5416666666666667,1.0,0.42105263157894735
13,A,1.8975774236023426,0.5714285714285714,0.4,0.5,1.0,0.4,0.0,0.45,0.34615384615384615,0.0,0.0
13,B,1.6321586016565561,0.5714285714285714,0.4,0.3333333333333333,0.6666666666666666,0.5,0.0,0.25,0.1923076923076923,0.0,0.0
14,A,1.5290782004594803,0.6666666666666666,0.8,0.75,0.5,1.0,0.2,0.6,0.5208333333333334,0.125,0.5
14,B,0.5615570843219757,0.6666666666666666,0.8,0.875,1.0,0.5,0.5185185185185185,0.35,0.4375,0.875,0.3684210526315789
15,A,0.6379044279456139,0.8,0.8,0.8333333333333334,1.0,0.6666666666666666,0.11764705882352941,0.25,0.22527472527472528,0.14285714285714285,0.1
15,B,0.7686573639512062,0.6666666666666666,0.6,0.6666666666666667,1.0,0.5,0.25,0.4,0.37362637362637363,0.2857142857142857,0.2222222222222222
16,A,1.6509329676628113,1.0,1.0,1.0,1.0,1.0,0.36363636363636365,0.3,0.3333333333333333,0.5,0.2857142857142857
16,B,3.3788554668426514,0.75,0.6,0.5,1.0,0.6,0.47058823529411764,0.55,0.5416666666666666,0.5,0.4444444444444444
17,A,0.8458011597394943,0.6666666666666666,0.6,0.6666666666666667,1.0,0.5,0.5333333333333333,0.65,0.625,0.5,0.5714285714285714
17,B,1.5181218385696411,0.5714285714285714,0.4,0.5,1.0,0.4,0.36363636363636365,0.3,0.3333333333333333,0.5,0.2857142857142857
18,A,2.2465013563632965,0.6666666666666666,0.8,0.75,0.5,1.0,0.0,0.65,0.5,0.0,0.0
18,B,2.6961913108825684,0.5714285714285714,0.4,0.5,1.0,0.4,0.0,0.6,0.46153846153846156,0.0,0.0
19,A,1.38872030377388,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.4,0.3958333333333333,0.375,0.3
19,B,0.46481288224458694,0.75,0.6,0.5,1.0,0.6,0.2222222222222222,0.65,0.5625,0.125,1.0
